"","X.5376B385.492D.34C1.E053.6B04A8C09FF6.","X127000","X2017.05.12.00.00","DE21.4ND","S","N","F","X44","X","RUPERT.ROAD","CHADDESDEN","DERBY","CITY.OF.DERBY","CITY.OF.DERBY.1","A","A.1"
"478","{5376B385-5425-34C1-E053-6B04A8C09FF6}",210000,"2017-06-13 00:00","BN23 5DE","F","N","L","PALOMAR COURT, 4","FLAT 26","MIDWAY QUAY","","EASTBOURNE","EASTBOURNE","EAST SUSSEX","B","A"
"479","{5376B385-5426-34C1-E053-6B04A8C09FF6}",490000,"2017-06-26 00:00","TN35 5NX","D","N","F","19","","BARLEY LANE","","HASTINGS","HASTINGS","EAST SUSSEX","A","A"
"480","{5376B385-5647-34C1-E053-6B04A8C09FF6}",269950,"2017-06-09 00:00","TN38 0XE","S","N","F","7","","LYTHAM CLOSE","","ST LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"481","{5376B385-5648-34C1-E053-6B04A8C09FF6}",420000,"2017-03-08 00:00","TN39 4LJ","D","N","F","THE WHITE HOUSE, 1","","ELLERSLIE LANE","","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"482","{5376B385-5649-34C1-E053-6B04A8C09FF6}",282500,"2017-05-31 00:00","TN6 2XR","T","N","F","23","","TOLLWOOD PARK","","CROWBOROUGH","WEALDEN","EAST SUSSEX","A","A"
"483","{5376B385-564B-34C1-E053-6B04A8C09FF6}",80000,"2017-06-06 00:00","TN40 1AH","F","N","L","DEVONSHIRE HOUSE","FLAT 10","DEVONSHIRE ROAD","","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"484","{5376B385-564C-34C1-E053-6B04A8C09FF6}",372150,"2017-05-26 00:00","BN2 3JB","T","N","F","16","","INVERNESS ROAD","","BRIGHTON","BRIGHTON AND HOVE","BRIGHTON AND HOVE","A","A"
"485","{5376B385-564D-34C1-E053-6B04A8C09FF6}",705000,"2017-06-09 00:00","TN6 1EJ","D","N","F","ORCHARD HOUSE","","QUEENS ROAD","","CROWBOROUGH","WEALDEN","EAST SUSSEX","A","A"
"486","{5376B385-564E-34C1-E053-6B04A8C09FF6}",330000,"2017-06-20 00:00","BN10 7UJ","D","N","F","6","","BRETTS FIELD","","PEACEHAVEN","LEWES","EAST SUSSEX","A","A"
"487","{5376B385-564F-34C1-E053-6B04A8C09FF6}",210000,"2017-05-31 00:00","TN40 1SF","S","N","F","61","","ASHDOWN ROAD","","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"488","{5376B385-5650-34C1-E053-6B04A8C09FF6}",1100000,"2017-06-09 00:00","BN3 6DD","D","N","F","59","","HILL BROW","","HOVE","BRIGHTON AND HOVE","BRIGHTON AND HOVE","A","A"
"489","{5376B385-5651-34C1-E053-6B04A8C09FF6}",237489,"2017-05-31 00:00","TN22 5BD","T","N","F","61","","ALEXANDRA ROAD","","UCKFIELD","WEALDEN","EAST SUSSEX","A","A"
"490","{5376B385-5652-34C1-E053-6B04A8C09FF6}",160000,"2017-05-26 00:00","TN34 3QD","T","N","F","42","","BRENDON RISE","","HASTINGS","HASTINGS","EAST SUSSEX","A","A"
"491","{582D0636-C78A-8F22-E053-6C04A8C01BAC}",735000,"2017-08-04 00:00","DT10 2AB","D","N","F","RIVERS CORNER HOUSE","","","RIVERS CORNER","STURMINSTER NEWTON","NORTH DORSET","DORSET","A","A"
"492","{582D0636-C78B-8F22-E053-6C04A8C01BAC}",250000,"2017-07-07 00:00","BH6 3PT","F","N","L","EAST STOUR, 18A","FLAT 1","STOURCLIFFE AVENUE","","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","B","A"
"493","{582D0636-C78C-8F22-E053-6C04A8C01BAC}",122000,"2017-07-21 00:00","SP8 4GX","F","N","L","23","","OTTER SPRINGS","","GILLINGHAM","NORTH DORSET","DORSET","A","A"
"494","{582D0636-C78D-8F22-E053-6C04A8C01BAC}",395000,"2017-07-28 00:00","BH20 7LH","D","N","F","BROOKSIDE","","SOUTHBROOK","BERE REGIS","WAREHAM","PURBECK","DORSET","A","A"
"495","{582D0636-C78E-8F22-E053-6C04A8C01BAC}",145000,"2017-04-28 00:00","BH1 4PD","F","N","L","THE GROVE, 41","FLAT 3","BOSCOMBE GROVE ROAD","","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"496","{582D0636-C78F-8F22-E053-6C04A8C01BAC}",169000,"2017-07-28 00:00","BH5 1AD","F","N","L","BURLINGTON WEST MANSIONS","FLAT 6","OWLS ROAD","BOSCOMBE","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"497","{582D0636-C790-8F22-E053-6C04A8C01BAC}",255000,"2017-06-30 00:00","DT11 7TU","T","N","F","70","","LOCKERIDGE CLOSE","","BLANDFORD FORUM","NORTH DORSET","DORSET","A","A"
"498","{582D0636-C791-8F22-E053-6C04A8C01BAC}",235300,"2017-08-22 00:00","DT11 8EJ","T","N","F","COACH COTTAGE","","HIGH STREET","CHILD OKEFORD","BLANDFORD FORUM","NORTH DORSET","DORSET","A","A"
"499","{582D0636-C792-8F22-E053-6C04A8C01BAC}",455000,"2017-08-08 00:00","BH23 2RW","D","N","F","GOBLINS, 36","","HURN ROAD","","CHRISTCHURCH","CHRISTCHURCH","DORSET","A","A"
"500","{582D0636-C793-8F22-E053-6C04A8C01BAC}",217950,"2017-08-07 00:00","BH14 8TW","F","N","L","NAVARAC COURT, 19","FLAT 2","BELLE VUE ROAD","","POOLE","POOLE","POOLE","A","A"
"501","{582D0636-C794-8F22-E053-6C04A8C01BAC}",450000,"2017-08-14 00:00","DT2 7ES","S","N","F","TWO MANOR COTTAGES, 18","","MAIN ROAD","TOLPUDDLE","DORCHESTER","WEST DORSET","DORSET","A","A"
"502","{582D0636-C795-8F22-E053-6C04A8C01BAC}",157000,"2017-06-30 00:00","BH10 4EA","F","N","L","COLUMBIA HOUSE, 39 - 41","FLAT 3","COLUMBIA ROAD","ENSBURY PARK","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"503","{582D0636-C796-8F22-E053-6C04A8C01BAC}",435000,"2017-07-19 00:00","BH13 7HQ","F","N","L","LITTLE COURT, 15","FLAT 1","MARTELLO ROAD SOUTH","CANFORD CLIFFS","POOLE","POOLE","POOLE","A","A"
"504","{582D0636-C797-8F22-E053-6C04A8C01BAC}",300000,"2017-07-21 00:00","BH6 5QH","S","N","F","38","","DENMEAD ROAD","","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"505","{582D0636-C798-8F22-E053-6C04A8C01BAC}",375000,"2017-08-16 00:00","DT8 3DG","D","N","F","4","","CULVERHAYES","","BEAMINSTER","WEST DORSET","DORSET","A","A"
"506","{582D0636-C79A-8F22-E053-6C04A8C01BAC}",299500,"2017-08-01 00:00","BH11 8TL","D","N","F","8","","OAK GARDENS","WALLISDOWN","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"507","{582D0636-C79B-8F22-E053-6C04A8C01BAC}",136800,"2017-07-07 00:00","SP8 4GY","T","N","F","25","","JAY WALK","","GILLINGHAM","NORTH DORSET","DORSET","A","A"
"508","{582D0636-C79C-8F22-E053-6C04A8C01BAC}",222500,"2017-08-18 00:00","BH15 2NX","F","N","L","GARDENS COURT, 57","FLAT 9","PARKSTONE ROAD","","POOLE","POOLE","POOLE","A","A"
